Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Botswana,BWA,345662733.4,407035314.5,543402800.4,532601060.4,549840386.8,552920438.5,612559218.7,606348584.4,663983873,700397765.1,717153185,626530347.7,574727348,532169048.7,510191242.4,452434627.4,400352880.4,491350071,514126449.3,515796292.8,460538960.4,364731487.2,425189546.8,448508779.9,1643300883.2,1806938426.7,2395188968.7,2526373031.3,2388279492.2,2499532552.1,2236640614.3,2126448971.8,1741386786.6,1782037130.2,1565096393.6,1597427934.6,1981527906.4
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Brazil,BRA,104173244270.1,109645181057.1,120476573202.5,118039405885,114930095027.7,120311895094.7,121336709129.8,129535948557.2,144599577124.3,152903103557.7,160964228343.5,181793526989.2,198980293495.1,241998415763.8,245114967226,242511685521.8,229959717402.1,231944181034.5,235907984168.4,220693592600.6,188364545589.9,194303018016.9,238444452622.6,262957236462.6,281651138432.4,352364412862.6,404046105342.1,440496598192.8,483734834011.9,556919631071.7,543397356309.8,543257228545.3,543000326110.9,557742529134.6,568690159150.8,549263187525.6,606484605480.6
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Bulgaria,BGR,3851537192.7,5866004143.2,8265581747,8943895641.4,10137085437.7,10889618418.3,11741672280.9,11838561986.7,12177634744.5,9828532996.1,10378823642.3,10368413941.5,11099448177.6,11404629614.5,11794851857.2,12008623065.1,11274814331.7,12313486729.7,14259733783.4,16620274377.5,18507353591.6,28007279111.5,43822454674.9,53067247242,55682965449.1,50697349714.5,47739502725.5,51428607356.1,51652240788.2,47074927807.1,40378595624.5,39994027753.1,40989144703.6,40103456193.4,40501402414.8,46906480539.4,44942637186.3
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Burkina Faso,BFA,511100955.5,639696853.1,827502134.8,845249596.1,717259802.1,833673417.3,967441445.2,1039802411.9,1118907234.9,1135033979.4,1274258080.3,1301463551.1,1307801527.1,1470373375.7,1608245528.6,1446330172.4,1516006603.1,1564526409.9,1757847852.1,1944506311.9,2011339006.1,1142927904.9,1965861233.4,2669318923.8,3715932438.7,4799877861,5973120088.6,7434757337.4,8941849034,10298023832.9,12597759899.4,10248405381.9,12768155915.9,10621434777.5,9156789203.1,9757079001.2,10296765809.9
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Burundi,BDI,455096618.9,570430014.5,769586468.4,800694146.9,888845816.1,906936375.2,963475598.4,1026584699.6,1065645817.3,1127404969,1161951393.2,1130746660.3,1068957656.4,1121825243.5,1153732063.6,1125869260.9,1093536451,1232214637.4,1348337839.1,1357933155.3,1287893069.1,1371901889.5,1409730477.1,1390288828.7,607230101.8,620923162,604409004.8,667307145.9,683609189.5,690167126.4,625980607.8,602774776.7,606820362.7,584975019,622155017.3,657124566.7,966407096.5
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Cabo Verde,CPV,94918904.3,113301983.5,129541097.3,124352364,126041739.9,133755465,134240227.2,141994227,147571336.8,175919927.3,214117753.8,202637635.8,206529452.3,246754113.6,328538337,319703769.2,345641178.3,387894289.8,441401882.3,464179206.7,477481514.4,524173293.2,580579758.5,626140970.8,724582325.6,884596455.5,1041231867.4,1248578671.3,1492658588.6,1550676370.5,1550185095,1551733555.5,1789970312.7,1767451777.7,1821219111.3,2071455506.5,2059769905.9
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Cambodia,KHM,163669000,186616660.8,190280363,189218800.8,253725961.9,264873693.3,1698280868.8,1674463038.5,1657688468.3,1743207879.7,1854015535.6,1916699701,1931499360,2001835074.1,2067765596.3,2108290127.2,2178847689.5,2391328664.2,2681720223.1,2890524251.2,2934613692.7,3033315872.6,2248479410.3,2648360714.7,3303650951.5,4010466367.2,4655287804,6749242998.3,7619394338,8318518444.1,9436048397.9,10059535399.9,11425279074.2,13532957757.7,15342221357.1,17568703040.8,20020414892.4
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Cameroon,CMR,3161506000.8,4137225986,4588512728.7,4812725442.2,5364587527.1,6562505108,6767223905.9,7514931937.2,7745306458.5,9358516039,10953419023.3,11074529701.3,10751459761.8,11317978713.1,10765384769.6,10561281361.4,9748844313,10285903206,11408147625.6,10855782708.2,7700089817.9,3418558775.7,3085552120.7,2835553588.4,3237320906.9,3190178368.7,3094521348.4,3887899904.7,5177990160,5765541169.1,7304904667,7890233642.2,10073207229.5,10945885119.7,12872318611.6,14783909843.2,16003268414.4
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Central African Republic,CAF,343526726.1,461863128.5,617836345.5,668836055.3,693537146.4,698505035.4,794180184,813886188.5,875128942.6,888050750.8,945983160.3,932746933.3,882958613.1,918825268.8,924194362.5,869008795.3,834810718.1,1083576140.7,1064243826,1116732591.6,1044778987.1,1049101554.1,1029858389.6,998708752.1,550619216,634315034.6,571183516.3,577205381.3,597631051.4,661613485.4,690626853.7,695731319.7,723093116,785603519.9,849442819.7,898730121.1,1115463251.7
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Chad,TCD,216488390.3,263170300.2,347956438.9,395720698.4,398671140,514179006.1,616560585.1,641682750.2,692281243.3,784041894.7,841874677.3,946588238.7,956913401.4,1029974192.7,1109216581,1098901268.9,1095686160.4,1276030379,1539458240.8,1652259152.8,1629648503.1,1757292382.6,1848758227.2,1802466708.4,1874375774.9,2157556371.3,2331370125.4,2346572489,2910578276.1,3724337229.9,2799378941.3,2859930968.9,3122874756.7,3243495772.6,3325315310.4,3669599113.9,3933632679.2
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
