Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Australia,AUS,4.96480576473812,3.24692546281224,3.36571108938279,4.14732144485455,2.91996069685752,3.48326546450967,2.5496934460322,2.41801257465548,2.08793172684144,1.99235405557612,2.04725873195576,2.06582008756225,1.81810532805351,1.81876019174523,1.84806769664256,2.86959713874586,3.17115247257245,2.73476829038018,2.16291887982159,2.87169432910206,4.22757163597628,5.29546103907016,6.49560018169479,8.59319405878872,5.03869390084314,8.07666526793644,8.67503750575586,5.36224168667949,5.31112525259261,4.74052852118708,3.27562265193913,4.05730127248191,5.06070784243654,5.47462365219589,5.81237679344498,5.91844174901544,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Austria,AUT,0.425454308520397,0.242697772633116,0.204968746246446,0.211145407948425,0.27089260220775,0.256065988947635,0.166064781932931,0.129640355812445,0.124151783763925,0.120847606072928,0.114762145830159,0.137735705521085,0.123355326641241,0.093178947096683,0.0959094941983195,0.155321533452741,0.160755557380077,0.161825581043445,0.156443563370781,0.131827964819949,0.150828215701554,0.195294189482635,0.222195385135998,0.251596482569153,0.169268158795774,0.225792608135882,0.271599608451084,0.254274195614482,0.224162918916449,0.188597856637289,0.134762917973439,0.112235849137765,0.127694328348208,0.144713201452784,0.113911595806064,0.0886772989072538,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,38.2291841118408,41.6678836489511,21.7444325033603,22.5810025293265,14.7051161665437,4.44284228215177,15.9429641804589,33.8610987032669,27.16155532671,25.4916185338144,25.8258519090862,28.3432592570563,37.7452623462759,42.1249061319117,39.1070492270229,41.2962768234726,28.622147715394,32.1390940327113,35.1520972606953,31.2756736428679,26.9327970337295,22.9135435142889,14.5219616959837,15.3320767739454,20.9716333862586,29.3546240939992,25.4816019448311,18.8017532307309,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,"Bahamas, The",BHS,0.0408415258595623,0.0404236909300599,0.0430349819374979,0.0661437990601393,0.0583698885624857,0.117517922654803,0.0985386018898743,0.0847378457760751,0.106734839094133,0.0823949449552514,0.0939755068763486,0.0800968796029261,0.0406913459063713,0.00982060005443367,0.00894710566624494,0.0065462344231874,0.00672552681484684,0.00802761910159939,0.00711913265164592,0.00632085195324348,0.00618646583431911,0.00740185924800783,0.00786416942490994,0.00881508179515022,0.00862539932676807,0.015294777644818,0.0132816629067002,0.0123262091368237,0.014628204466075,0.0176754252123636,0.0142284971225151,0.0172000157782544,0.0172668668963389,0.0131164597095545,0.01245949621164,0.0179214631341619,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Bahrain,BHR,33.0056758067283,26.5144546826674,32.3352729976612,24.8358113968825,32.9323229021842,39.9931248674548,22.6877119911508,22.8751230063596,20.2440380361088,16.5122834981384,17.2585496614309,20.8960183586655,19.1265644404451,12.8056727692321,16.6603934659161,21.2127699307228,18.1233748938039,16.985700734843,17.3129793400339,18.7213712293387,23.0400414823204,23.7389741262466,22.0655228287652,24.7519174462857,17.476225565308,19.7454307667039,27.0795087997727,23.9379174934912,24.8392438036047,22.5653624832189,12.2495472644117,8.76533723503548,10.1569284072004,13.0369080147772,11.3142283399329,8.6827268844,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Bangladesh,BGD,0.319438376372567,0.579746278600013,0.48133063053595,0.483462719207252,0.445419338223659,0.538114643363384,0.52929377187869,0.515874466066804,0.428659884291739,0.402697598408274,0.455277238525905,0.442064793858705,0.38471722270717,0.361923932143555,0.438698144328291,0.578192399757212,0.624750050430433,0.758870103375151,0.744827060330034,0.765082433784796,0.985276088782365,1.35600713548427,1.18857823030277,1.10668965889475,1.15800734050145,1.15190668607977,1.6416649611016,1.63241180106445,1.16540741571536,1.11560721426565,0.923666722752773,0.586126104470663,0.56319753187907,0.599715199260464,0.412651566102271,0.318967548680135,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Barbados,BRB,0.862167843298742,0.352179009495823,0.353078599338724,0.238774111601765,0.272393771098582,0.412401725902593,0.242882341464198,0.31701188268798,0.281910083102384,0.22846666260298,0.260977392200341,0.250731699166855,0.18929427957722,0.149554314003292,0.283706779447302,0.399822397528285,0.250634340276307,0.208690648113285,0.23534265516599,0.287584942530975,0.381049607786917,0.448730343964893,0.377080677931409,0.496597883166268,0.277383073401296,0.38320514006868,0.564424064460084,0.561562631719982,0.532195138001254,0.462755001018461,0.195077776195894,0.142933942866438,0.217743353114144,0.321377221369412,0.279179607104937,0.221262259307958,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Belarus,BLR,..,..,..,..,..,0.992593177171489,..,..,..,1.56655485241856,2.28982325754898,3.29021809689197,3.11796925375136,0.744718062747445,1.64170328250502,2.45611888622159,2.09544339519453,1.79332135753555,1.7427375220639,1.76299970027522,1.75543388671453,1.71102773577614,1.55543649818267,1.53109844079855,1.12345590747676,1.33191127189268,1.72807041114267,1.79857706579051,1.47516456691948,1.34051912736817,1.17143847529288,1.2725341422979,1.61809072065052,1.99093325768474,1.72859328314867,1.69851918264026,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Belgium,BEL,0.159577177730732,0.091832260275776,0.0540049975027334,0.0380828941356769,0.0450744660334138,0.0456713190947253,0.0293640402960604,0.0234752995235629,0.0253431514008471,0.0232967330153065,0.0211378704653313,0.0226272434146229,0.0203587518853227,0.023364084011025,0.0228456584576574,0.0247063546005288,0.020974551036504,0.0237669038031078,0.0217668696377626,0.0158728866813625,0.0156553837667139,0.0177583467778119,0.0191105161683344,0.0184456365466109,0.0173979810435606,0.0193026689959564,0.019283615490506,0.0186459902935122,0.0193368905135548,0.0200023114878053,0.0195380201886472,0.0188126642437691,0.0166585662203543,0.019239121093776,0.0150959935264914,0.0162595589029317,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Belize,BLZ,0.563075709792636,0.458824722735064,0.768025229884478,0.666135185078641,0.65021992190567,0.763749696295813,0.721870979859207,0.638618758753366,0.58482860928505,0.527463130911414,0.642907053804504,0.543936492550451,0.5260293611967,0.439508233594241,0.376298423626249,0.275821342068187,0.274365395518254,0.285895527192166,0.276553566272777,0.244942757461601,0.287130990961932,3.24553046300581,4.21180576935768,6.19693166955561,3.72347931511908,5.35401046098921,6.94196992539642,4.83641560295755,3.55600149360228,2.64078179373652,1.20952058172765,1.03981503151429,0.954178597588331,0.996808197316465,0.790219798442613,0.829193635001881,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Benin,BEN,8.95497845276992,7.69709605152832,7.3322748659122,6.88307078652599,8.02359591214406,7.73593239392921,7.04316737304076,8.90094618262247,5.67380521177207,9.07150184312047,9.13619432042747,8.29680725676242,7.92878639017232,7.48501027611046,3.23284787358724,3.39024118567369,3.16973051888205,3.38833760630793,4.17522066893314,3.12542829256931,3.04609464446911,3.04876209362755,3.62691504634563,3.64875464695243,3.70291832819171,3.42233006971996,3.47876903315435,3.91643001416052,3.51561852901866,3.70461529956937,4.30435329785485,4.45599386355762,4.10749745388018,2.46040412481133,2.4825328579817,2.32162334142658,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Bhutan,BTN,5.91255720350436,8.47256742386363,6.15214136442858,5.75256642794367,5.76489606343113,6.26209751841958,7.57353665564573,7.93930099724503,6.51655938869964,5.35916436841409,6.12375956917943,5.83323743085717,4.27883605842788,4.18858380790976,4.28337351804892,3.99150086496823,3.85748225048797,3.57169796370512,3.33704260283624,2.96461819956834,2.6417876975474,3.39335513018226,4.30210186881481,4.20236098327307,3.5358665536457,5.30507467504962,4.92104010325424,4.22181097232926,3.42639737795127,3.41883860606992,4.02829541274311,4.43640193257497,3.36402525599169,1.98869700878608,2.17981058124967,2.88398062973872,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Bolivia,BOL,3.38998495805501,2.39544582303691,3.39945790485515,5.17295078619121,7.2286814289802,7.26362479914466,4.01606223736006,3.86222658769687,3.59418838730452,4.41973252412394,5.05991399021249,4.8186803652597,3.98370629035869,1.99452985304759,2.49561494299529,3.96617066931652,3.85984349247998,4.34008836903205,4.72290454603672,8.08041847515999,11.7110948970037,14.4610551998218,14.600466672048,12.3420729319787,7.00363423165018,9.2878944041199,12.8379632085661,11.4725690418328,10.9041677869337,8.91759503400311,3.8289410853846,3.32733197033546,5.29143273381951,5.06676014470709,3.36219728217225,2.98790543114644,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,0.24799192993358,0.849406187587214,0.0908375859163132,1.90856942766875,1.54574564629313,1.3590244342066,1.25255396573372,1.30401113339195,0.870264498095084,0.820290457899181,1.70427034238952,1.83134699930558,1.64314384567308,2.12198723854657,3.64922435563605,1.47210610212086,2.74556569862433,3.5534332043111,2.25753152676851,1.78183507013622,1.23990021070108,1.01181394906779,1.03934639659792,1.27177741029308,1.03467641221929,0.790181075567507,0.770192289852217,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Botswana,BWA,1.88553881967575,1.48504010766418,1.14242972401136,7.25076480921048,5.56979177276549,2.0490238557498,3.07097926960371,1.97153795479496,1.14828195294599,1.62952199049239,2.32088080870692,1.24820931153994,1.38134328074307,0.850202048939524,1.35636752851025,2.37490435808634,1.1600041715042,0.90934656515505,1.92898543216187,3.22184188647016,2.33975224499832,6.30044618115508,7.15761626619276,3.88462351771068,2.21321608644828,2.08060859128436,1.85988494259985,2.17549776734251,1.34946190970492,0.909144871928059,0.790999719233791,0.752329813253809,0.866281934032382,0.809852818321017,0.627107705023753,0.678482792828235,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Brazil,BRA,3.2803293743545,2.03006477782782,2.26813550170497,2.00036624275386,2.32450606971655,2.69859997172554,2.3621745517838,2.52119724411569,2.10056493229302,1.37808420467454,1.13570413001357,1.15732718752175,1.03384517907751,0.948601853748172,1.71478172770348,2.18605115575512,2.21624231184045,2.78595022424074,2.80146644139198,2.67570050877001,3.78193891988666,3.88289323908398,4.10275387534177,4.74206317561717,2.366953387903,3.656254062525,4.25341741290375,3.80614709341465,3.79387624071427,3.26188448971847,2.39115420220481,2.40156113031822,2.85356917586925,3.76454189015038,3.50615815689418,3.99116095210967,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Brunei Darussalam,BRN,32.3449648182493,30.0866136722634,28.4683517102623,21.9979636297907,26.8207097469524,35.0808901285699,20.2513185145925,19.0635700636609,19.5448897969809,18.906115544139,17.7869377244545,19.9432495784091,18.0778884728208,12.2696159295991,18.9170520724539,29.7222195389838,24.5603367369311,20.9108066376414,23.2915091511907,28.1370918174888,34.2563274950813,36.4405431461132,28.6183393716956,30.0867014571513,23.693136416286,23.6267745990227,29.8873060187791,26.7393793821722,22.7145071812267,21.3512693666338,18.7705498600504,14.5966181870272,17.8752113117638,26.1275819717252,22.6144238789656,17.0062595966655,..
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Bulgaria,BGR,1.67908416434988,0.829493578363571,0.565985255733689,2.97242054494498,2.73108868238646,1.10770662943418,1.38583280397419,1.38589288756574,0.982600743189472,1.09292046880436,0.847726802088457,0.99564652822392,0.965115673295026,0.534855090575502,0.614521920450226,0.645139893553869,0.700664991954619,0.455641573954717,0.429226748183672,1.1478850861045,1.40680469959857,1.85744791678135,1.70097628720369,1.96311294371013,0.707748351477608,1.69284233399663,2.15413493200357,1.63894699262514,1.12408985471809,0.789203021535909,0.656180991246573,0.52414515135178,0.746831713633773,0.671719737316267,0.579169522796877,0.587943699302687,..
